sender,no_reacts,text,label
$USER0999,0,Îl dăm pe iohanis Jos și arătat și pe tâlhari hoți și criminali de la putere????,OTHER
$USER2889,0,Dute dracu faaa matahala.Esti respinsa peste tit,ABUSE
$USER0037,2,Criminali económici sā plateascā!,OTHER
$USER1158,0,"Ministrul Apărării este un bou,o conserva nenorocita",INSULT
$USER1218,2,Haideți să ieșim...dai in p..la noastră da muistii dreaq ... să-i linsam,ABUSE
$USER2885,0,Stefan Alina tu cu mă-ta,ABUSE
$USER2909,2,"Sa o pupi in k..r, batran si prost",INSULT
$USER1637,0,"România NEUTRĂ ! Pace ! Pace ! Pace ! Pace ! Pace în scumpa ROMÂNIE și pe întreg Globul PAMÂNTESC . PACE ,LIBERTATE IN TOATE POPOARLE !",OTHER
$USER0703,0,"Martin Martin Normal. De acolo iese""ciubucul"".",OTHER
$USER1934,0,Români PROSTI Din Naștere vor Război vor sa își omoare copiii,INSULT
$USER0147,0,Principial e corect...,OTHER
$USER2410,0,SANATATE MULTĂ.. ÎȚI DORESC...MULTĂ BAFTA . IN LUPTA CARE O DUCI... PACAT CĂ OMUL BUN .. ESTE BATJOCURIT. GUVERNUL E UN MARE TICALOS,INSULT
$USER0224,0,Va dati mari si tari :))))),OTHER
$USER1668,0,VREM NEUTRALITATE !,OTHER
$USER1616,0,Felicitări!!La mulți ani!Multă sănătate și Doamne ocrotește ROMÂNIA!,OTHER
$USER1847,0,"Copii noștri NU sunt cobaii nimănui ,venim peste voi lichelelor .O sa dispăreți și voi și americanii de pe pământul nostru românesc",ABUSE
$USER2222,1,Când ti a furat tie ucraiana teritorii ??? Bai citiți dracu istoria și Terminați cu balivernele pe Facebook,PROFANITY
$USER0588,0,Sa te fut an gură ochelarist mincinos,ABUSE
$USER0043,0,Lalatrine doar jocuri pe calculator:-))),OTHER
$USER0565,0,RUȘI O SĂ STEA ÎN CARANTINĂ,OTHER
$USER3860,0,Jandarmii pulii zdrențele dracu și mai ne vor în război să apărăm tara care tară tara jandarmii lor jos guvernul cu tot cu iohanis,ABUSE
$USER2026,1,sa il bagi lui mata prostane,ABUSE
$USER1847,1,NEUTRALITATE ! Oculta mondiala vrea sânge ortodox ! Vor sa luptam frate cu frate ! Nu participam la ritualul lor satanic cu sânge creștin,PROFANITY
$USER0308,0,Sclavii lumii am ajuns,ABUSE
$USER1399,0,sigur ? Care este? Ai aflat?,OTHER
$USER1288,1,Faceți pe dracu voi sunteți buni de taiat frunze la câini,PROFANITY
$USER1260,1,"O dă după ""nu știm""",OTHER
$USER0415,3,"Terminati dracului cu caciuleala si cu slugarnicia ! Bogdan Chirieac ,esti o rusine ,marsi !",ABUSE
$USER1833,0,Respect maxim pt cei prezenți!,OTHER
$USER0685,0,"Raysaray Martinez dute dumneata dracului unde vrei cu sfantul tv in brațe , deocamdata in tara mea am dreptul sa imi spun parerea.",ABUSE
$USER3291,0,Sa va fut in gura cei care scrieti bravo!!!,ABUSE
$USER2538,0,Iesiti naibi afara prosti de Romani,INSULT
$USER1250,0,Dragi Romani astia vor ca noii Poporul sa nu stim ce legi vor sa dea acesti mafioti si Tradatorii din Guvern si Parlament care vor sa ne distruga Tara Rusine,OTHER
$USER1362,2,e adevarat ca s-a votat vaccinarea obligatorie in parlamentul european?? ne poate da domnul Terhes mai multe informatii despre ce implica asta??,OTHER
$USER1441,0,Sandita Ileana stie pe dracu .eu cred ca era cel mai prost profesor in cluj.se vede pe fata lui ca nu stie sa lege doua cuvinte.de nu iar mai muri multi inaintea lui de neghiob,INSULT
$USER1618,0,Diana Iovanovici Șoșoacă președinta României! Amin,OTHER
$USER0638,0,NU ....Nu mai avea tu nici o remarca,OTHER
$USER1546,3,"Myryam Myryam știm de mult asta, americanii sunt in spatele falsei pandemii si in spatele asa zisului război...!!!",OTHER
$USER1867,1,Să vă fie gura aurită d-omnul părinte Doamne ajută Romania și poporul român,OTHER
$USER1429,0,Terhes nu te mai lua de Rusi frustatule,INSULT
$USER0656,0,Hai faceti l si pe Luis agent,OTHER
$USER0897,0,Fii tare George nu te lasa pina la capat,OTHER
$USER0003,0,"Aici au inceput organizarii mici cu piticii verzii,deja se fac miscarii de implementare,Atentie !",OTHER
$USER1846,0,"In loc sa faceti ceva, aveti tot timpul de comentat, sa ti fie rusine",OTHER
$USER1765,1,Marsh mah terminatilor,INSULT
$USER1370,0,"Haide pa că mi-am răpit destul timp ptr. o păpușă masonica ca tine ! Noapte bună popor talentat, te-am pupat...",OTHER
$USER1845,0,BRAVO ANGELO GIORGIANI.,OTHER
$USER2735,0,"Bă panaramă încuiată....habar nu ai unde ești.... ia-ți in pula mea un GPS, că te-ai rătăcit !!!! Jigodie injectată !!!!",ABUSE
$USER0181,0,"Rusii sunt PATRIOTI cu pretul vietii,nu pupa Curu la Satanisti",ABUSE
$USER1459,0,Terheș este trimis de americanii să ne prostească Marș Terheș la Rostchild,INSULT
$USER0254,0,"NU ACCEPTAȚI PORTOFELUL DIGITAL, NU ACCEPTAȚI RECESĂMÂNTUL SATANIC",PROFANITY
$USER0608,0,ah gata neamtule ... si tu ... tot .... trompeta bidenista ... asa e au facut bine ca i-au bombardat ...,OTHER
$USER0915,0,"Luis avem niște papagali în guvern și la conducerea țării, sunt niște nenorociți",INSULT
$USER0535,0,S-a blocat tot Bucureștiul din acest motiv!!!!Rusine!!!!!,OTHER
